,QD,YD,XIRR-1,XIRR-3,XIRR-5,XIRR-10,XIRR-INC,myCustomInterval
A002T2,0.1122279540461022,0.1122279540461022,0.21521017713707002,,,,0.05369312078054911,-0.01719401862099823
A00BX3,0.08449378329611545,0.08449378329611545,0.2008976314640376,,,,0.06138717142881012,
A00G31,0.09301318827053073,0.09301318827053073,0.20448881454853418,,,,0.07897384801516383,-0.020656845285570657
A00G33,0.08749562582364079,0.08749562582364079,0.190960546966068,,,,0.057900140054066185,-0.0322673131605421
A00I10,0.09324414349176413,0.09324414349176413,0.20447585167719073,,,,0.08608451879531676,
A00I11,0.09598105371826215,0.09598105371826215,0.2115414061949914,,,,0.09125939625258384,
A00I15,0.08380824501527195,0.08380824501527195,0.287131026494891,,,,0.12090634318182136,
A00MR0,0.09682722948722522,0.09682722948722522,0.184983614919648,,,,0.11302428507528539,
A01BW0,0.06545199975478333,0.06545199975478333,,,,,0.1423530427910933,
A01BW5,0.08802163439406585,0.08802163439406585,,,,,0.169631861135644,
A01BW6,0.03986238893597527,0.03986238893597527,,,,,0.11882437766304998,
A01BX1,0.08505193995847682,0.08505193995847682,,,,,0.15414872226932674,
A01BX5,0.0822188047345409,0.0822188047345409,,,,,0.1461932538830013,
A01BY0,0.06445375918707308,0.06445375918707308,,,,,0.13065288235298778,
A01GN0,0.041841318849696885,0.041841318849696885,,,,,0.07181085373770157,
A01GN5,0.06936037036526477,0.06936037036526477,,,,,0.12816248261193386,
A01RG0,0.09078407729335236,0.09078407729335236,,,,,0.2239310212939727,
A01RG5,0.08510768390236545,0.08510768390236545,,,,,0.19539738498469839,
A022R0,,,,,,,0.04247639989037055,
A02AL0,,,,,,,-0.0035695180836724516,
A02AN1,,,,,,,0.003475597444574152,
A02AN2,,,,,,,-6.711853295371384e-12,
A02AN3,,,,,,,0.0023168886245832354,
A02AN5,,,,,,,0.0007874047399094586,
A02AO5,,,,,,,0.0009274211526979492,
A02AO6,,,,,,,0.003721648675451661,
A02CV0,0.06591993990991152,0.06591993990991152,,,,,0.1561613309859824,
A02HM0,,,,,,,,
A7A010,0.029505538480581794,0.029505538480581794,0.09264468912227475,0.045628129826230435,0.06453184192563355,,0.0665713979936422,-0.04149107462431523
A7A020,0.09336623319011172,0.09336623319011172,0.21169083384380483,0.08587929162880403,0.12764501865121458,,0.14075073334311639,-0.02952029813782775
A7A040,0.08075736208319584,0.08075736208319584,0.18309298133085639,0.08673340821309816,,,0.1080263359213498,-0.03301879117097617
A7A041,0.07630280779504739,0.07630280779504739,0.17272873765207697,0.07515694381285587,,,0.07230991582004997,-0.034558474655064564
A7A045,0.08132753480777,0.08132753480777,0.18720838180732846,0.08053440728215033,,,0.07874765357244806,-0.03366767426579076
A7A050,0.04405262576717228,0.04405262576717228,0.10902803908751468,0.04674004565799139,,,0.06290318080175084,-0.04245916770742175
A7A060,0.050400914582231726,0.050400914582231726,0.12242810762992118,0.054850247156992715,,,0.059960764226127505,-0.04601167535820483
A7A070,0.05625104630042688,0.05625104630042688,0.12164998095918111,0.03747174425100441,,,0.0407622834372523,-0.03492108531999094
A7A080,0.058086685445021935,0.058086685445021935,0.12564038994585314,0.03872744348053758,,,0.04188946545234895,-0.03466557426097039
A7A090,0.06649456839068146,0.06649456839068146,0.15985845204557747,0.08695272873080784,,,0.14272994714992837,-0.047604555104290625
A7A096,0.04978885414759282,0.04978885414759282,0.30009364131203164,0.30009364131203164,,,0.09164773183673458,
A7A100,0.09289134654536757,0.09289134654536757,0.21021696835804282,0.08062227270687417,,,0.12291821996029917,-0.030791720611804352
A7A112,0.08824316023166001,0.08824316023166001,0.19669076749067327,0.09487270051266306,,,0.13547700997090217,-0.02925562694793249
A7A121,0.08625882589766465,0.08625882589766465,0.18415050777067443,0.08827905469194053,,,0.1306703281491921,-0.025923581998104628
A7A123,0.09336872914669425,0.09336872914669425,0.1991984412620207,0.07382241065070949,,,0.11847694758166649,-0.031322894945091107
A7A130,0.09308684105561937,0.09308684105561937,0.1479554903837732,0.07288514135151436,,,0.10899099515012844,-0.049915044314676194
A7A131,0.05503344337199079,0.05503344337199079,,,,,0.05476933332368428,
A7A140,0.0831067366998528,0.0831067366998528,,,,,0.09963999999999884,
A7A145,0.08588242429259507,0.08588242429259507,0.13444897174594628,0.0349864307207981,,,0.036625899082404434,-0.07547768210881967
A7A146,0.0627738844432475,0.0627738844432475,0.08760167770499439,0.07296116264982166,,,0.07807531851521965,-0.044084507219589564
A7A150,0.03967189939994431,0.03967189939994431,0.167489031499505,,,,0.10175414517240666,-0.00182399940862632
A7A151,0.09136107027057694,0.09136107027057694,0.2117558620085105,,,,0.06846202848994998,-0.02633030132080283
A7A155,-0.0002657001170047746,-0.0002657001170047746,-0.0010590536397453443,,,,0.5544607323952397,-0.001060140952509947
A7A161,0.09110629411112181,0.09110629411112181,,,,,0.17600348238077834,
A7A165,,,,,,,,
A7A174,0.09079315816873446,0.09079315816873446,0.20092871369969734,,,,0.096824886965865,
A7A181,0.08664119001383108,0.08664119001383108,0.20611700414349166,,,,0.07670046572913214,-0.03202706536501598
A7A190,0.09222950231731986,0.09222950231731986,0.17622090385877098,,,,0.05118836556414785,-0.03413660968152832
A7A200,0.06663778218340388,0.06663778218340388,0.15260002249859972,,,,0.04661039178607518,-0.032382220048195576
A7A210,0.09249662843552686,0.09249662843552686,0.20713381495649608,,,,0.05802079959076201,-0.029821521554144637
A7A211,0.08163926035209235,0.08163926035209235,0.15160840049217228,,,,0.015373335851733616,-0.06145044745513917
A7A220,0.09271282792806534,0.09271282792806534,0.20478133422582157,,,,0.051407497605163055,-0.032877557813098646
A7A230,0.059417568541203725,0.059417568541203725,0.14004831141649876,,,,0.0835411406738551,-0.04967555832812598
A7EA11,0.09134635206660491,0.09134635206660491,0.20226968866715644,0.09561074764886102,,,0.11354482061915117,-0.029064418226234512
A7EA24,0.09251517307260504,0.09251517307260504,0.19135502255049963,0.0694792719555597,,,0.09611488661893497,-0.04546697687182211
A7P001,0.09489540341109959,0.09489540341109959,0.21086520967122668,0.10095066071078795,,,0.12573607676281662,-0.033489621474093956
